"gameNumber","dimension","nThreads","initTime","resolutionTime"
2,5,3,0.001369,0.001342
3,5,3,0.000230,0.001101
4,5,3,0.000768,0.001021
5,5,3,0.000407,0.000981
6,5,3,0.000701,0.002174
7,5,3,0.000742,0.000933
8,5,3,0.000383,0.000867
9,5,3,0.004427,0.000956
10,10,3,0.374149,0.002703
11,10,3,0.003296,0.000672
12,10,3,0.633923,0.000336
13,10,3,0.001138,0.000360
14,10,3,0.003320,0.000496
15,10,3,0.000794,0.000459
16,10,3,0.000544,0.000331
17,10,3,0.000578,0.000363
18,10,3,0.000502,0.000576
19,10,3,0.000353,0.000319
20,20,3,0.017401,0.002442
21,20,3,0.026001,0.004363
22,20,3,0.007620,0.001667
23,20,3,0.035890,0.005413
24,20,3,0.023158,0.002856
25,20,3,0.016239,0.002515
26,20,3,0.015693,0.002700
27,20,3,0.024890,0.004328
28,20,3,0.029568,0.006026
29,20,3,0.024975,0.004003
30,30,3,1.315651,0.102973
31,30,3,1.308700,0.196011
32,30,3,0.657992,0.072787
33,30,3,1.307867,0.107853
34,30,3,0.997338,0.086932
35,30,3,0.963096,0.096909
36,30,3,0.832271,0.093477
37,30,3,1.032358,0.121556
38,30,3,1.068000,0.104578
39,30,3,2.011275,0.148596
40,40,3,76.080881,5.825431
41,40,3,19.541737,2.361619
42,40,3,40.537544,3.226220
43,40,3,38.139596,3.899257
44,40,3,20.604926,1.757529
45,40,3,40.053979,4.049191
46,40,3,29.402463,2.647716
47,40,3,21.559349,2.197591
48,40,3,36.361641,2.914439
49,40,3,85.757179,6.729326
0,5,3,0.001121,0.000435
1,5,3,0.000496,0.000864
2,5,3,0.000768,0.000799
3,5,3,0.000574,0.001373
4,5,3,0.000964,0.000957
5,5,3,0.000246,0.001136
6,5,3,0.000244,0.001367
7,5,3,0.001009,0.001282
8,5,3,0.000393,0.001192
9,5,3,0.000733,0.002307
10,10,3,0.006805,0.000858
11,10,3,0.375816,0.000646
12,10,3,0.001025,0.000431
13,10,3,0.001153,0.000353
14,10,3,0.001062,0.001181
15,10,3,0.001071,0.000605
16,10,3,0.642380,0.000700
17,10,3,0.004196,0.001004
18,10,3,0.000828,0.000403
19,10,3,0.000315,0.000238
20,20,3,0.017682,0.002769
21,20,3,0.025709,0.004542
22,20,3,0.007278,0.001733
23,20,3,0.035126,0.004884
24,20,3,0.023122,0.002913
25,20,3,0.015825,0.002517
26,20,3,0.015579,0.002593
27,20,3,0.024858,0.004030
28,20,3,0.033488,0.006183
29,20,3,0.024877,0.003980
30,30,3,1.317276,0.100855
31,30,3,1.315271,0.178752
32,30,3,0.633692,0.058811
33,30,3,1.305051,0.109803
34,30,3,0.974529,0.082846
35,30,3,0.978529,0.091155
36,30,3,0.831628,0.085079
37,30,3,1.035934,0.130256
38,30,3,1.139899,0.113061
39,30,3,2.018448,0.150615
40,40,3,76.361863,6.000860
41,40,3,19.520177,2.403111
42,40,3,40.762874,3.254372
43,40,3,37.981258,3.998017
44,40,3,20.836000,1.763945
45,40,3,40.159880,4.064318
46,40,3,29.295552,2.682541
47,40,3,21.502381,2.286079
48,40,3,35.820285,3.285552
49,40,3,85.782739,6.382360
0,5,3,0.000772,0.000444
1,5,3,0.000540,0.000315
2,5,3,0.000359,0.000510
3,5,3,0.000358,0.000834
4,5,3,0.000404,0.000898
5,5,3,0.000286,0.002002
6,5,3,0.000254,0.001488
7,5,3,0.000772,0.001309
8,5,3,0.000290,0.000975
9,5,3,0.000821,0.001086
10,10,3,0.367322,0.001167
11,10,3,0.375561,0.000771
12,10,3,0.634412,0.002314
13,10,3,0.005994,0.000471
14,10,3,0.000932,0.000376
15,10,3,0.003696,0.000714
16,10,3,0.000619,0.000363
17,10,3,0.000679,0.000363
18,10,3,0.000471,0.000303
19,10,3,0.000281,0.000240
20,20,3,0.017609,0.002603
21,20,3,0.026178,0.004523
22,20,3,0.007470,0.002004
23,20,3,0.035533,0.004774
24,20,3,0.023210,0.002894
25,20,3,0.016123,0.002688
26,20,3,0.014921,0.002835
27,20,3,0.023653,0.004023
28,20,3,0.029988,0.006637
29,20,3,0.027447,0.004537
30,30,3,1.324074,0.103144
31,30,3,1.321254,0.185469
32,30,3,0.643607,0.062716
33,30,3,1.321666,0.108280
34,30,3,1.000065,0.086832
35,30,3,0.964056,0.092179
36,30,3,0.839436,0.094865
37,30,3,1.043767,0.123235
38,30,3,1.062904,0.115132
39,30,3,2.084741,0.153008
40,40,3,76.225876,6.020967
41,40,3,19.692356,2.366324
42,40,3,40.521618,3.171180
43,40,3,37.801913,3.915659
44,40,3,20.683576,1.757080
45,40,3,40.040707,4.072932
46,40,3,29.289907,2.653390
47,40,3,21.442687,2.334822
48,40,3,36.193994,2.875769
49,40,3,85.845262,7.512913
0,5,4,0.000369,0.000766
1,5,4,0.000249,0.000263
2,5,4,0.000210,0.001981
3,5,4,0.000149,0.001650
4,5,4,0.000204,0.000171
5,5,4,0.000264,0.000233
6,5,4,0.000214,0.000898
7,5,4,0.000430,0.000359
8,5,4,0.000396,0.000179
9,5,4,0.000190,0.000183
10,10,4,0.376899,0.004252
11,10,4,0.022346,0.003491
12,10,4,0.000614,0.000740
13,10,4,0.004407,0.000347
14,10,4,0.000701,0.000427
15,10,4,0.000582,0.000425
16,10,4,0.000500,0.000328
17,10,4,0.000541,0.000445
18,10,4,0.000671,0.000310
19,10,4,0.000700,0.000244
20,20,4,0.016032,0.002086
21,20,4,0.023539,0.004352
